icscode,nlc,station_name,journey_time_orig,journey_time_dest,ml_orig,ml_dest,ml_ics_orig,ml_ics_dest,ml_orig_station_name,ml_dest_station_name,lng,lat,duration_change
90002142,7877,Darlington,173,167,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-1.54421824255,54.5218725742,-6
90002368,9622,Dumbreck,333,316,Euston,Euston,1000077,1000077,Euston,Euston,-4.30224109018,55.8440354725,-17
90007966,6846,White Notley,70,80,Other,Other,1000226,1000226,Maryland,Maryland,0.594319170852,51.8395737266,10
90003239,6281,Habrough,198,189,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-0.280021629389,53.6084292715,-9
90006141,8835,Roy Bridge,579,563,Euston,Euston,1000077,1000077,Euston,Euston,-4.83775756911,56.8886654959,-16
90006706,5922,Southampton Airport (Parkway),115,114,Waterloo,Waterloo,1000254,1000254,Waterloo,Waterloo,-1.36139776508,50.9511821207,-1
90004639,9371,Livingston North,325,317,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-3.54565529911,55.9012040488,-8
90000672,7910,Billingham,247,238,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-1.2801160882,54.6050676943,-9
90002383,9039,Dundee,411,417,King's Cross,Euston,1001171,1000077,King's Cross,Euston,-2.97432436923,56.4566577024,6
90005876,8548,Pontefract Monkhill,213,202,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-1.304754561,53.6987193092,-11
90002720,8061,Ferriby,202,194,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-0.506995754322,53.7171875412,-8
90005544,6133,Peterborough,79,69,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-0.247773603013,52.5730550613,-10
90004004,1976,Kendal,215,199,Euston,Euston,1000077,1000077,Euston,Euston,-2.74049227712,54.3320891384,-16
90005479,7274,Oulton Broad South,178,191,Other,Euston,90003901,1000077,Ipswich,Euston,1.70637214279,52.4691922154,13
90002801,7029,Foxton,108,98,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,0.0555700480386,52.1190449621,-10
90004876,8831,Mallaig,691,675,Euston,Euston,1000077,1000077,Euston,Euston,-5.8268027374,57.0004532759,-16
90002785,5258,Ford,124,119,Victoria,Victoria,1000248,1000248,Victoria,Victoria,-0.578920460795,50.8289486538,-5
90003658,1533,Harlington,62,65,Other,Other,1001067,1001330,City Thameslink,Brondesbury,-0.496178535564,51.9609426875,3
90001003,8618,Brora,986,964,Other,Other,90003942,90003942,Inverness,Inverness,-3.85322790385,58.0125667889,-22
90002959,8117,Gilberdyke,189,181,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-0.73374861251,53.7483373843,-8
90007690,8509,Weeton,212,201,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-1.58100836755,53.9210634731,-11
90003912,9508,Irvine,381,365,Euston,Euston,1000077,1000077,Euston,Euston,-4.67553870765,55.6108190952,-16
90001717,1143,Coseley,162,146,Euston,Euston,1000077,1000077,Euston,Euston,-2.08489204257,52.544721894,-16
90002004,9135,Dalgety Bay,333,325,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-3.36644953859,56.0424666407,-8
90000658,2737,Blackburn,198,182,Euston,Euston,1000077,1000077,Euston,Euston,-2.48137229101,53.7443932552,-16
90008073,7329,West Runton,201,217,Other,Other,90005280,90005280,Norwich,Norwich,1.24700368369,52.9353018793,16
90000136,6847,Alresford,102,117,Other,Other,90001519,90001519,Colchester,Colchester,0.995539653395,51.8538675524,15
90000886,9023,Broughty Ferry,445,445,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-2.87365458638,56.4678291095,0
90007139,8727,Taynuilt,549,534,Euston,Euston,1000077,1000077,Euston,Euston,-5.24024210913,56.4306099716,-15
90003561,6108,Huntingdon,103,96,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-0.192900348249,52.3280306388,-7
90001975,9185,Cowdenbeath,371,368,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-3.3442697632,56.113201538,-3
90006953,3250,Stapleton Road,180,177,Paddington,Paddington,1001221,1001221,Paddington,Paddington,-2.56934885949,51.4704661441,-3
90003188,7922,Great Ayton,289,279,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-1.11439145975,54.4872706349,-10
90005596,4102,Pembroke Dock,364,362,Paddington,Paddington,1001221,1001221,Paddington,Paddington,-4.93948066585,51.6936956393,-2
90007552,9365,Wallyford,337,329,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-3.01648267574,55.9407196546,-8
90005901,9543,Prestwick,392,376,Euston,Euston,1000077,1000077,Euston,Euston,-4.61392383357,55.5022168572,-16
90008174,3818,Ynyswen,264,258,Paddington,Paddington,1001221,1001221,Paddington,Paddington,-3.52166151538,51.6647439793,-6
90004333,3498,Lelant Saltings,382,377,Paddington,Paddington,1001221,1001221,Paddington,Paddington,-5.44184820571,50.1769931527,-5
90003633,5273,Hove,98,94,Victoria,Victoria,1000248,1000248,Victoria,Victoria,-0.165754839458,50.8349663252,-4
90000191,9451,Annan,279,264,Euston,Euston,1000077,1000077,Euston,Euston,-3.25978041069,54.9817508591,-15
90007760,5759,Whimple,214,212,Waterloo,Waterloo,1000254,1000254,Waterloo,Waterloo,-3.35353765406,50.7678732693,-2
90001657,4616,Codsall,163,147,Euston,Euston,1000077,1000077,Euston,Euston,-2.199251341,52.6272906557,-16
90000442,8484,Batley,196,188,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-1.62288917807,53.7085463871,-8
90006803,8469,Steeton & Silsden,213,202,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-1.94175325949,53.8990403222,-11
90003738,2105,Horton In Ribblesdale,369,353,Euston,Euston,1000077,1000077,Euston,Euston,-2.30256261057,54.1485741661,-16
90007382,3886,Trefforest Estate,209,203,Paddington,Paddington,1001221,1001221,Paddington,Paddington,-3.28980645984,51.5679805628,-6
90000581,1096,Barnt Green,169,154,Euston,Euston,1000077,1000077,Euston,Euston,-1.99356785916,52.3609967724,-15
90002894,4074,Ferryside,268,265,Paddington,Paddington,1001221,1001221,Paddington,Paddington,-4.37096127105,51.76662646,-3
90000222,9455,Ardrossan Town,384,368,Euston,Euston,1000077,1000077,Euston,Euston,-4.8092496887,55.6418060537,-16
90006253,2673,Salwick,236,219,Euston,Euston,1000077,1000077,Euston,Euston,-2.82030004208,53.7814713679,-17
90001586,4876,Colwall,210,206,Paddington,Paddington,1001221,1001221,Paddington,Paddington,-2.35571332335,52.0803199981,-4
90004002,3325,Kemble,121,120,Paddington,Paddington,1001221,1001221,Paddington,Paddington,-2.02236696646,51.6733884934,-1
90006859,9888,Stirling,390,387,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-3.93639440353,56.1185899752,-3
90006928,7975,Stockton,240,231,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-1.31903771024,54.5687157845,-9
90002183,7744,Dunston,257,255,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-1.64406612572,54.9509582966,-2
90000608,2304,Birchwood,210,194,Euston,Euston,1000077,1000077,Euston,Euston,-2.52681390093,53.4128447298,-16
90001388,6615,Chesterfield,139,133,St Pancras,St Pancras,1001276,1001276,St.Pancras,St.Pancras,-1.42087587829,53.2374132183,-6
90004452,4163,Llanwrtyd,379,376,Paddington,Paddington,1001221,1001221,Paddington,Paddington,-3.63026768366,52.1047804189,-3
